Demand_Time	Vehicle_Type	产生地	目的地	SOC
8.132522	P	215	197	0.27
9.166722	P	25	37	0.16
8.257450	P	171	7	0.14
10.901950	P	211	203	0.29
5.589364	P	137	29	0.12
7.170327	P	163	182	0.25
7.858516	P	199	39	0.11
7.252881	P	133	128	0.10
8.062903	P	60	184	0.21
7.308180	P	180	166	0.16
7.090832	P	191	199	0.28
9.062506	P	197	80	0.29
10.509719	P	113	94	0.13
6.993114	P	83	201	0.21
7.791263	P	102	97	0.28
8.350570	P	72	101	0.13
9.931748	P	69	73	0.16
4.738168	P	149	122	0.14
7.374907	P	93	51	0.28
8.469907	P	73	62	0.17
6.944148	P	144	118	0.20
8.153284	P	76	87	0.25
9.556650	P	49	145	0.17
7.983875	P	60	78	0.19
5.203719	P	24	71	0.11
7.405586	P	17	164	0.23
8.789236	P	84	9	0.25
8.945721	P	121	120	0.15
6.443079	P	126	181	0.26
10.417180	W	153	187	0.25
13.836689	W	39	57	0.24
7.385369	W	197	127	0.23
13.203762	P	106	214	0.27
12.193409	W	178	163	0.23
13.631443	W	39	171	0.21
13.548743	W	143	120	0.14
12.110133	W	194	128	0.16
11.084203	W	200	198	0.23
9.715412	W	165	82	0.16
10.066462	W	66	156	0.11
10.365587	W	170	153	0.24
11.259886	W	54	103	0.23
8.203072	W	126	29	0.14
12.313508	W	93	126	0.27
10.347772	W	25	9	0.23
10.412115	W	129	211	0.29
7.343980	W	50	94	0.29
10.787833	W	114	177	0.23
9.466350	W	76	28	0.20
5.544236	W	99	182	0.12
14.124597	W	118	134	0.28
9.767831	W	166	80	0.29
12.477809	W	187	69	0.22
8.021383	W	78	189	0.10
14.061909	W	3	18	0.21
10.342963	W	32	53	0.28
6.756985	W	117	176	0.10
9.898817	W	121	65	0.27
15.060434	W	208	111	0.30
12.579059	W	119	42	0.16
12.246880	P	57	80	0.25
9.769952	P	11	45	0.23
8.741388	W	130	196	0.13
9.564154	W	10	202	0.15
10.580784	P	159	21	0.20
9.800727	W	210	82	0.25
12.157912	W	182	57	0.29
13.136631	W	44	14	0.18
13.979206	W	171	3	0.18
8.604591	W	99	97	0.24
6.681474	W	34	93	0.20
11.323375	W	214	24	0.23
10.217781	W	126	71	0.15
13.264569	W	104	107	0.10
16.363926	W	33	30	0.30
10.116263	W	17	83	0.28
10.690095	W	161	183	0.19
14.554055	W	181	125	0.26
11.754788	W	22	113	0.14
14.092929	W	73	208	0.17
8.354845	P	159	74	0.24
10.295799	W	147	11	0.25
12.592691	W	28	64	0.20
9.382684	W	153	56	0.24
6.972839	W	26	80	0.14
9.797764	W	20	169	0.26
12.865050	W	5	130	0.22
9.868810	W	89	146	0.20
10.961502	W	195	198	0.10
13.155159	W	157	3	0.27
11.993372	W	121	112	0.12
9.727221	W	173	163	0.20
14.105575	W	31	104	0.11
13.173455	W	188	33	0.20
8.737201	W	105	90	0.18
5.350301	W	212	1	0.21
10.094981	W	123	155	0.14
12.656544	W	64	59	0.26
12.585990	W	57	103	0.17
12.586836	W	199	184	0.25
7.489077	W	30	22	0.16
13.930082	W	151	93	0.19
11.556320	W	155	193	0.27
11.775165	W	28	167	0.23
13.256399	P	143	133	0.13
14.413044	W	124	209	0.10
8.740690	W	77	127	0.28
11.005711	W	90	82	0.19
11.774818	W	50	208	0.13
13.160210	W	213	178	0.12
13.288948	W	187	102	0.14
9.140444	W	64	110	0.27
13.823372	W	21	31	0.13
8.290409	W	11	70	0.22
13.528018	W	128	158	0.24
11.738796	W	122	4	0.18
12.134725	W	86	116	0.14
11.794737	W	136	5	0.23
10.679893	P	153	27	0.30
7.860027	W	61	37	0.10
12.042813	W	200	133	0.15
12.415949	W	39	104	0.30
13.326526	W	182	200	0.12
11.358959	W	20	207	0.25
10.878001	W	157	79	0.26
9.294485	W	175	52	0.18
11.178983	W	182	150	0.25
11.555527	W	203	207	0.24
8.799117	W	212	23	0.13
10.750234	W	180	150	0.19
13.191807	W	150	35	0.20
6.464964	W	10	177	0.30
13.859602	W	203	57	0.26
12.163788	W	9	31	0.28
12.993516	W	131	176	0.12
12.492337	W	145	84	0.18
13.766523	W	187	64	0.25
13.516314	W	8	116	0.24
13.299256	P	175	110	0.28
12.025112	W	155	151	0.15
10.298750	P	126	55	0.27
11.087069	W	147	213	0.27
11.866679	W	20	1	0.28
11.137787	W	150	43	0.19
5.819349	W	197	212	0.26
12.472843	W	12	82	0.10
12.134630	W	53	43	0.16
10.122124	W	80	36	0.23
9.721617	W	43	58	0.12
8.772916	W	63	188	0.13
11.321553	W	174	78	0.22
8.672118	P	201	138	0.17
15.026360	W	106	67	0.25
7.673276	W	136	99	0.10
9.921786	P	116	102	0.15
10.000214	W	113	99	0.10
11.757270	W	180	122	0.23
13.586941	W	148	198	0.28
11.292317	W	97	101	0.28
10.345436	W	153	161	0.17
10.370911	W	173	29	0.10
12.068437	W	48	215	0.24
11.425009	W	41	59	0.13
12.982915	W	195	154	0.22
10.675631	W	92	144	0.15
12.628603	W	190	137	0.17
11.619266	W	87	9	0.15
10.101478	W	208	159	0.27
7.752974	W	190	170	0.19
9.399624	W	48	7	0.14
8.143327	W	105	68	0.30
12.896217	W	91	52	0.15
11.053401	W	207	77	0.24
10.956221	W	208	213	0.14
11.801425	W	133	177	0.25
11.588104	W	161	136	0.16
9.760911	W	134	29	0.24
10.442119	W	125	86	0.21
14.756943	W	92	154	0.18
12.255545	W	214	147	0.12
7.670994	W	102	193	0.30
12.579934	W	172	137	0.23
13.228960	W	113	43	0.28
12.742798	W	8	103	0.25
9.738655	W	152	105	0.25
13.684147	W	177	86	0.21
11.800926	W	110	114	0.23
12.150319	W	163	209	0.29
7.985634	W	118	207	0.27
13.283006	W	105	94	0.14
9.273005	W	35	129	0.10
10.549445	W	87	193	0.14
8.238994	W	46	83	0.13
12.318520	W	114	52	0.29
11.865272	W	27	22	0.20
7.769874	W	36	38	0.23
14.352829	W	179	66	0.11
10.357496	W	135	29	0.28
9.890249	W	70	164	0.28
11.563640	W	132	124	0.23
7.411736	W	180	201	0.26
10.056639	W	17	208	0.14
11.024420	W	87	159	0.18
13.851475	W	100	90	0.25
13.069553	W	191	165	0.22
13.207452	W	91	207	0.27
8.555923	W	113	67	0.16
14.014481	W	188	59	0.22
12.277952	W	143	121	0.14
14.178162	W	60	83	0.24
11.324002	W	99	147	0.13
14.980758	W	212	17	0.25
10.905744	W	65	145	0.22
13.277741	W	174	75	0.16
13.285497	W	14	159	0.23
10.455728	W	94	101	0.23
10.258422	W	153	209	0.14
9.473499	W	23	113	0.18
13.045773	W	46	208	0.27
13.431581	W	112	89	0.22
10.526621	W	173	68	0.20
10.186704	W	10	3	0.27
12.104725	W	99	103	0.28
6.789774	W	78	169	0.10
10.535193	W	119	25	0.26
9.891001	W	67	180	0.24
13.916933	W	174	117	0.12
12.296770	W	13	105	0.23
10.332290	W	121	104	0.12
8.959735	W	32	142	0.15
7.005938	W	163	5	0.21
12.485725	W	32	115	0.10
14.319631	W	174	86	0.18
12.249674	W	55	184	0.25
12.131737	W	49	59	0.16
6.819568	W	21	30	0.10
10.787324	P	213	95	0.20
12.938061	W	25	63	0.26
12.987226	W	165	36	0.10
11.697808	W	67	12	0.14
10.819009	W	30	123	0.15
9.020075	W	186	105	0.16
14.009738	W	49	191	0.16
13.046251	W	107	36	0.17
13.047899	W	183	205	0.19
12.155739	W	141	193	0.12
12.828653	W	161	6	0.16
11.944636	W	143	14	0.20
8.429310	W	50	138	0.23
13.568639	W	33	120	0.16
11.457083	W	207	104	0.14
9.057226	W	15	135	0.25
11.749352	W	90	149	0.17
9.661593	P	143	107	0.19
13.746920	W	98	113	0.19
11.186684	P	48	123	0.25
10.129937	W	25	96	0.28
10.794796	W	16	95	0.27
10.952522	W	153	209	0.21
12.125649	W	75	156	0.11
13.829280	W	86	105	0.23
10.906972	W	58	206	0.10
10.561147	W	160	198	0.14
10.431251	W	16	94	0.28
8.817600	W	137	19	0.23
11.564390	P	22	60	0.15
10.279853	W	121	29	0.25
10.016145	W	42	128	0.14
12.691863	W	44	131	0.17
10.203408	W	176	62	0.10
10.843372	W	100	214	0.16
8.752796	W	213	44	0.10
8.293080	W	46	130	0.28
10.947378	W	207	36	0.20
9.658617	W	33	56	0.23
11.611294	W	97	142	0.17
8.862138	W	149	46	0.27
10.181280	W	159	60	0.25
8.568061	W	38	135	0.30
12.266679	W	157	172	0.18
11.860156	W	82	128	0.12
10.581165	W	209	76	0.19
9.559094	W	33	202	0.14
6.235976	W	135	75	0.26
12.061780	P	165	102	0.30
9.979412	W	194	136	0.25
13.445833	W	49	1	0.23
11.584885	W	196	57	0.10
9.101203	W	1	62	0.24
8.959669	W	156	50	0.16
13.901838	W	146	78	0.19
11.303480	W	15	161	0.12
9.498319	P	75	24	0.18
12.728473	W	100	167	0.12
9.738780	W	67	214	0.23
13.591505	W	60	98	0.13
13.721287	W	15	153	0.18
9.062199	W	205	173	0.10
11.513180	W	81	200	0.17
8.842874	W	206	80	0.25
10.909848	W	133	53	0.26
12.723426	W	131	164	0.15
11.688552	W	104	30	0.13
10.504024	W	87	103	0.19
13.323765	W	163	66	0.13
12.098395	W	160	7	0.17
10.391007	W	125	77	0.18
10.433420	W	133	46	0.17
11.949994	W	178	21	0.24
10.247776	W	161	178	0.14
10.124258	W	23	115	0.28
8.461091	W	53	155	0.19
11.535895	W	214	59	0.14
10.561057	W	121	122	0.28
10.615894	W	103	57	0.16
12.524245	P	30	139	0.10
9.649168	W	70	24	0.15
11.417060	W	16	57	0.12
13.925994	W	156	94	0.19
10.792794	W	62	179	0.21
7.528764	W	180	57	0.23
9.919747	W	130	55	0.24
7.926503	W	136	192	0.21
9.285650	W	16	157	0.22
12.311501	W	179	211	0.21
12.685472	W	95	73	0.10
13.314528	W	123	137	0.21
10.484039	W	182	77	0.12
12.522267	W	200	117	0.24
11.034483	W	164	70	0.25
11.971998	W	62	64	0.13
12.008477	W	49	134	0.25
10.840106	W	144	160	0.24
11.693557	P	187	211	0.24
11.945974	W	50	39	0.28
10.147563	P	57	113	0.18
13.042559	W	197	98	0.13
11.999026	P	19	55	0.15
7.837518	W	38	49	0.18
8.488250	W	108	127	0.29
13.934713	W	14	165	0.10
8.791408	W	157	189	0.22
11.242339	W	82	86	0.21
12.208551	W	48	18	0.14
10.011269	W	52	212	0.13
12.332909	W	121	163	0.26
12.924140	P	62	78	0.22
14.428617	W	58	172	0.14
13.860928	W	20	59	0.18
10.438074	W	112	54	0.20
7.781438	W	183	197	0.23
12.004061	W	92	124	0.14
9.903862	W	152	168	0.29
8.564153	W	187	53	0.16
11.735912	W	102	27	0.29
11.681455	W	11	17	0.29
9.581776	W	90	210	0.28
10.259768	W	191	20	0.19
14.932231	W	26	93	0.16
10.872220	W	75	160	0.20
7.380206	W	195	11	0.18
6.344148	W	114	20	0.21
10.740069	W	193	73	0.24
11.116286	W	111	96	0.26
15.261960	W	30	97	0.20
15.719333	W	57	174	0.22
13.749138	W	48	207	0.13
11.560003	W	159	191	0.14
11.221663	W	34	111	0.20
13.231753	W	34	68	0.15
11.522153	W	124	178	0.10
10.212041	W	204	124	0.21
15.880276	W	157	165	0.10
13.100015	W	12	64	0.11
12.027847	W	86	100	0.29
11.329132	W	92	59	0.29
7.989477	W	126	173	0.29
9.861225	W	96	215	0.25
9.605736	W	162	130	0.26
10.426682	W	192	165	0.26
11.248883	W	162	185	0.10
9.356231	W	23	11	0.21
13.320839	W	29	196	0.22
11.870961	W	24	138	0.24
10.790515	W	58	88	0.21
9.857310	W	202	51	0.30
11.063391	W	176	95	0.15
11.506891	W	11	164	0.27
10.922717	W	162	117	0.28
10.674985	W	14	95	0.12
10.075504	W	195	11	0.29
10.645229	W	100	63	0.15
12.012658	W	179	67	0.27
12.217342	P	18	214	0.21
9.876773	W	207	167	0.24
13.416055	W	202	112	0.28
8.482546	P	100	16	0.15
13.251934	W	132	144	0.15
7.059394	W	172	84	0.19
8.654401	W	214	28	0.14
13.697167	W	4	202	0.26
7.376604	W	50	72	0.15
11.687448	W	205	93	0.20
9.935733	W	188	83	0.10
7.770421	W	132	160	0.16
12.959261	P	109	125	0.23
12.559907	W	60	24	0.30
8.159689	P	103	171	0.16
11.818038	W	81	193	0.25
10.560131	W	175	92	0.19
4.751456	W	7	151	0.20
11.599928	W	186	128	0.16
12.791375	W	43	213	0.27
14.737915	P	188	4	0.16
14.614649	W	42	18	0.20
8.584040	W	1	70	0.13
11.541765	W	103	142	0.30
10.373073	W	143	77	0.12
7.635094	W	155	144	0.23
12.233257	W	57	86	0.14
11.845180	W	182	133	0.29
12.375908	W	32	11	0.24
9.242336	W	127	77	0.16
12.821223	W	201	43	0.10
12.509600	W	78	23	0.19
13.675191	W	122	196	0.13
8.781400	W	175	202	0.23
9.615374	W	114	152	0.14
12.738356	W	69	166	0.27
9.661554	W	112	21	0.12
12.143218	W	74	92	0.19
9.050934	W	110	162	0.13
7.530313	W	173	18	0.21
12.892744	W	108	197	0.20
8.976634	W	49	117	0.12
15.882352	W	62	102	0.23
12.689909	W	148	182	0.30
12.263834	W	158	214	0.12
11.050221	W	66	92	0.25
9.704059	W	26	187	0.20
8.653184	W	87	39	0.29
13.707877	W	199	151	0.11
10.147908	W	47	99	0.23
11.471316	W	96	5	0.14
10.783791	W	144	16	0.10
11.233666	W	127	122	0.26
9.266648	W	89	58	0.25
12.162142	W	47	156	0.10
13.670501	W	85	146	0.12
12.262007	W	34	177	0.12
9.792875	W	32	78	0.20
10.311923	P	174	175	0.10
13.110292	W	159	81	0.26
12.266784	W	97	152	0.30
13.340212	W	111	135	0.19
12.117940	W	21	82	0.15
13.865288	W	154	41	0.11
9.977869	W	40	177	0.26
13.512496	W	185	52	0.28
8.521087	W	196	68	0.30
12.563200	W	16	157	0.28
11.820415	W	85	93	0.10
14.560587	W	192	18	0.10
16.419867	W	213	23	0.30
10.147838	W	154	58	0.21
8.355184	W	119	103	0.22
12.436523	W	85	72	0.22
13.786958	W	23	80	0.10
14.048075	W	196	146	0.30
8.643341	W	150	128	0.28
8.041625	W	196	33	0.17
13.278597	W	75	167	0.12
12.084353	W	37	111	0.21
12.325427	W	140	26	0.24
10.410612	W	137	182	0.27
13.797320	W	187	115	0.18
8.592102	W	163	146	0.11
7.775476	W	212	80	0.27
10.881104	W	205	133	0.20
12.059417	W	157	121	0.17
12.283805	P	43	105	0.12
9.897303	W	28	136	0.16
10.654262	W	190	48	0.16
6.792496	W	2	62	0.11
12.828204	W	186	64	0.10
9.249333	W	83	183	0.22
14.768648	W	106	176	0.15
12.727379	W	44	15	0.18
10.727173	W	19	118	0.28
11.247033	W	113	213	0.18
9.274691	W	119	87	0.12
10.703472	W	55	155	0.19
12.574648	W	116	72	0.24
11.753842	W	206	203	0.11
10.744052	W	72	194	0.13
13.886087	W	108	7	0.26
11.779228	W	151	79	0.15
6.962843	W	100	70	0.21
11.176974	W	148	144	0.16
11.586560	W	79	74	0.27
7.705380	W	26	202	0.19
8.223960	W	7	16	0.28
10.196666	W	161	109	0.13
8.340980	W	84	127	0.11
13.773980	W	207	64	0.17
12.124723	W	127	99	0.18
12.071698	W	19	203	0.10
9.348773	W	114	113	0.19
10.780040	W	68	27	0.21
8.940111	W	119	103	0.28
15.321569	W	197	174	0.27
10.815589	W	76	67	0.13
12.187900	W	109	170	0.19
13.302924	P	147	56	0.26
6.418628	W	43	134	0.30
9.327281	W	105	66	0.24
12.715830	W	58	20	0.18
12.136599	W	64	135	0.25
10.136044	W	111	39	0.20
10.820045	W	138	42	0.20
9.614679	P	162	144	0.18
11.874760	W	33	195	0.10
8.443520	W	140	26	0.25
12.886973	W	96	46	0.25
11.101380	W	47	76	0.18
11.400613	W	92	193	0.18
10.214228	W	85	50	0.20
10.029463	W	132	124	0.30
11.931219	W	73	160	0.20
8.518897	W	36	175	0.19
13.022324	W	57	2	0.11
10.501869	W	68	154	0.18
11.691739	W	14	161	0.24
9.937622	W	6	201	0.14
12.420538	W	192	148	0.10
11.345861	W	27	47	0.13
11.644148	W	33	120	0.30
13.913035	W	58	116	0.27
10.042464	P	36	78	0.27
8.418120	W	91	127	0.23
7.541800	W	57	50	0.23
11.887721	W	96	189	0.24
8.570909	W	18	105	0.29
10.921421	W	174	181	0.30
9.990267	W	3	82	0.21
7.859359	W	78	58	0.21
8.481466	W	1	212	0.16
12.705291	W	135	159	0.30
12.684975	W	98	48	0.10
12.396762	W	209	64	0.30
10.808269	W	10	151	0.17
9.605627	W	142	199	0.13
10.390170	W	3	78	0.14
8.244154	W	95	187	0.17
8.544695	W	139	55	0.10
11.043093	W	118	111	0.16
14.537564	P	200	139	0.12
16.234040	W	160	180	0.19
12.651279	W	19	113	0.14
8.873403	W	116	11	0.30
12.582130	W	162	119	0.30
13.191378	W	26	126	0.17
14.481753	W	166	212	0.22
9.510849	P	129	39	0.15
8.605907	W	10	198	0.12
11.713534	W	169	203	0.21
9.751589	W	11	168	0.27
13.016492	W	208	18	0.30
12.121019	W	143	12	0.29
11.618543	W	116	58	0.17
14.300191	W	42	97	0.23
12.132383	W	134	204	0.13
10.932369	W	32	121	0.22
12.223719	W	195	176	0.15
12.958987	W	94	69	0.13
10.718983	W	136	57	0.20
11.482686	W	44	192	0.20
13.587192	W	156	9	0.12
11.373720	W	97	138	0.15
9.202766	W	130	212	0.10
10.932812	W	10	199	0.10
13.358699	W	9	126	0.22
11.617333	W	206	4	0.20
11.927106	W	116	199	0.26
10.654305	W	197	82	0.15
12.283504	W	9	202	0.18
13.358800	W	153	92	0.14
12.873415	W	214	171	0.20
8.366209	W	51	14	0.28
13.480874	W	136	122	0.29
10.151470	W	58	23	0.11
10.177656	W	38	39	0.25
11.497514	W	105	139	0.15
6.694029	W	138	106	0.18
10.306637	W	40	78	0.13
12.327380	W	50	68	0.22
11.176441	W	53	164	0.28
6.719333	W	205	4	0.22
12.697021	W	46	26	0.28
8.174997	W	183	96	0.21
10.599647	W	86	13	0.14
7.908793	W	125	94	0.21
12.473588	W	163	77	0.16
11.226414	W	61	136	0.16
9.146263	W	185	46	0.23
13.652081	W	2	153	0.16
10.219617	W	98	26	0.17
9.813125	W	68	41	0.13
